loc,uniq_libs,total_libs
178370,145,1361
178380,145,1361
178398,145,1361
178717,145,1361
178746,145,1361
178751,146,1362
178758,146,1364
178826,146,1364
178872,146,1364
178936,146,1364
178973,146,1364
179051,146,1364
179087,146,1364
179116,146,1364
179130,146,1364
179132,146,1364
179150,147,1378
179163,147,1378
179190,147,1378
179221,149,1381
179252,149,1381
179299,149,1381
179330,149,1381
179431,150,1382
179563,151,1383
179665,151,1388
179741,151,1393
179758,153,1396
179792,153,1399
179843,153,1402
179847,154,1403
179851,154,1404
179855,154,1405
179859,154,1406
179863,154,1407
179947,154,1407
180314,155,1408
180323,156,1409
180389,156,1422
180560,157,1423
181062,157,1423
181172,157,1423
181285,157,1424
181353,157,1425
181751,158,1427
182020,159,1429
182087,159,1430
182155,159,1430
182337,159,1430
182362,159,1430
182387,159,1430
182405,159,1431
182513,159,1432
182644,159,1433
182678,159,1434
182707,159,1435
182782,159,1436
182843,159,1437
182966,159,1438
182994,159,1439
183023,159,1440
183129,159,1441
183189,159,1442
183204,159,1443
183244,159,1444
183303,159,1445
183335,159,1445
183429,159,1445
183456,159,1445
183476,159,1445
183567,159,1445
183645,159,1445
183726,159,1445
183814,159,1445
183933,159,1445
184001,160,1446
184024,160,1446
184026,160,1446
184028,160,1446
184030,160,1446
184032,160,1446
184034,160,1446
184144,160,1446
184185,160,1446
184205,160,1446
184231,160,1446
184240,160,1446
184288,160,1446
184300,160,1446
184345,160,1446
184457,160,1446
184478,160,1446
184484,160,1446
184526,160,1446
184587,160,1446
184653,160,1447
184738,160,1447
184760,160,1447
184869,161,1449
184943,161,1449
184960,161,1449
184978,161,1449
185003,161,1449
185027,161,1449
185028,161,1449
185035,161,1449
185045,161,1449
185050,161,1449
185088,161,1449
185231,161,1449
185269,161,1449
185287,161,1449
185324,161,1449
185352,161,1449
185498,161,1449
185707,161,1449
185731,161,1449
185745,162,1450
185955,162,1450
185973,162,1450
186039,162,1450
186041,162,1450
186274,162,1450
186369,162,1450
186566,162,1450
186822,162,1450
187036,162,1450
187041,162,1450
187045,162,1450
187186,162,1450
187264,162,1450
187301,163,1451
187374,163,1451
187436,163,1451
187545,163,1451
187647,163,1451
187830,163,1451
188068,163,1451
188259,163,1451
188284,164,1455
188303,164,1455
188319,164,1455
188338,164,1455
188354,164,1455
188358,164,1455
188361,164,1456
188383,164,1458
188464,164,1458
188513,164,1458
188692,164,1458
188862,164,1458
188998,164,1458
188999,164,1458
189082,164,1458
189113,165,1465
189212,165,1465
189224,165,1465
189225,165,1465
189478,165,1465
189777,165,1468
189782,166,1469
190050,166,1469
190274,166,1469
190341,166,1469
190343,166,1469
190354,166,1469
190392,166,1475
190394,167,1476
190530,167,1476
190538,167,1477
190614,170,1487
190696,170,1487
190844,170,1488
190868,170,1488
190894,170,1488
190908,170,1488
190948,170,1488
190952,172,1490
190959,172,1490
191004,173,1491
191123,173,1492
191165,173,1492
191175,173,1492
191313,173,1492
191361,173,1492
191488,173,1492
191707,173,1492
191798,173,1496
191909,173,1496
191934,173,1496
192045,173,1496
192117,173,1496
192189,173,1498
192261,173,1500
192412,173,1505
192427,173,1508
192708,173,1508
192719,173,1508
192739,173,1508
192765,173,1508
192776,173,1508
192794,174,1509
192803,174,1509
192858,174,1510
192863,174,1510
192886,174,1510
192906,174,1510
193146,174,1514
193178,174,1514
193224,174,1514
193238,174,1514
193255,174,1520
193256,174,1520
193348,174,1522
193474,174,1523
193952,174,1524
194006,174,1524
194195,174,1524
194217,174,1524
194260,174,1524
194262,174,1524
194287,174,1524
194313,174,1524
194396,174,1524
194481,174,1524
194574,174,1524
194732,174,1524
194743,174,1524
194781,174,1524
194871,174,1524
194973,174,1524
195112,174,1524
195310,174,1524
195451,174,1524
195741,174,1524
195763,174,1524
195844,174,1524
195893,174,1524
196072,174,1524
196242,174,1524
196395,174,1524
196477,174,1524
196508,174,1524
196601,174,1524
196765,174,1524
196768,174,1524
196769,174,1524
196850,174,1524
196914,174,1524
196954,174,1524
197017,174,1524
197079,174,1524
197093,174,1524
197113,174,1524
197127,174,1524
197219,174,1524
197299,174,1524
197531,174,1524
197533,174,1524
197549,174,1524
197551,174,1524
197559,174,1524
197988,174,1524
198075,174,1524
198091,175,1525
198135,177,1529
198145,179,1533
198152,180,1534
198289,180,1535
198300,180,1535
198379,180,1536
198653,180,1536
198721,180,1536
198815,180,1536
198845,180,1536
198873,180,1536
198897,180,1536
198914,180,1536
198999,180,1536
