size,loc
79481,191208
79511,191256
79518,191264
79522,191272
79581,191338
79613,191378
79623,191391
79662,191432
79670,191438
79673,191445
79693,191470
79772,191659
79781,191676
79787,191696
79792,191715
80016,192002
80120,192146
80193,192244
80210,192272
80280,192340
80287,192353
80329,192411
80361,192444
80367,192450
80513,192654
80675,192860
80683,192875
80688,192882
80693,192889
80698,192901
80777,192984
80901,193128
80977,193224
81118,193399
81125,193410
81132,193423
81138,193429
81205,193496
81211,193502
81215,193511
81236,193535
81246,193556
81273,193609
81298,193653
81313,193710
81407,193857
81470,193971
81499,194017
81503,194021
81889,194469
81905,194508
81919,194538
81928,194557
81942,194585
81956,194605
81960,194611
81963,194620
81989,194652
81996,194662
82104,194769
82138,194806
82176,194853
82263,194972
82300,195016
82312,195039
82437,195255
82448,195285
82527,195357
82539,195390
82540,195393
82585,195454
82623,195491
82635,195507
82649,195524
82745,195694
82759,195781
82790,195829
82810,195854
82835,195882
82856,195912
82878,195963
82892,195988
82909,196023
82927,196046
83186,196364
83190,196370
83338,196623
83362,196674
83528,196891
83547,196935
83670,197077
83716,197160
83720,197217
83792,197329
83805,197344
83836,197384
83860,197412
83881,197469
83894,197492
83896,197497
83896,197498
83897,197517
83907,197532
83952,197590
83964,197597
83972,197614
84015,197705
84051,197803
84095,197856
84134,197890
84141,197900
84146,197905
84210,197996
84216,198001
84237,198017
84243,198023
84258,198043
84266,198056
84272,198061
84308,198082
84325,198113
84330,198120
84337,198125
84376,198165
84442,198258
84469,198284
84496,198315
84510,198345
84541,198379
84564,198414
84679,198547
84687,198560
84715,198597
84723,198609
84724,198614
84728,198616
84751,198650
84754,198653
84778,198678
84792,198689
84792,198690
84798,198749
84803,198784
84807,198823
84815,198834
84826,198860
84826,198861
84983,199057
84985,199060
85030,199147
85045,199160
85058,199169
85071,199191
85104,199227
85110,199235
85121,199246
85122,199248
85136,199258
85148,199276
85153,199298
85247,199447
85251,199474
85258,199517
85261,199615
85268,199736
85271,199877
85314,199920
85314,199921
85326,199936
85352,199968
85354,199970
85480,200147
85484,200250
85507,200360
85514,200418
85544,200482
85601,200786
85698,201498
85702,201500
85718,201710
85738,201783
85741,201843
85845,202113
85845,202178
85889,202329
85905,202374
85936,202497
85993,202635
86093,202914
86235,203514
86298,203639
86309,203668
86348,203828
86521,204159
86545,204205
86678,204451
86730,204626
86844,204991
87037,205634
87073,205700
87141,205904
87154,205958
87157,205995
87597,207011
87607,207082
87739,207274
87778,207358
87832,207476
87862,207566
87888,207651
87907,207712
87908,207715
88305,209252
88448,209535
88461,209544
88486,209580
88491,209590
88503,209606
88517,209624
88530,209651
88549,209672
88559,209688
88566,209704
88595,209766
88692,209863
88728,209930
88761,209970
88772,209991
88794,210024
88813,210052
88828,210078
88854,210111
88867,210137
88873,210160
88900,210209
88909,210226
88923,210253
88933,210266
88942,210285
88948,210297
88955,210318
89035,210459
89061,210507
89125,210675
89134,210697
89144,210720
89186,210796
89204,210816
89313,210978
89328,211005
89347,211030
89357,211048
89365,211072
89380,211110
89387,211118
89414,211180
89422,211193
89432,211208
89441,211226
89446,211237
89474,211310
89484,211336
89508,211373
89562,211449
89568,211544
89571,211551
89575,211557
89585,211587
89586,211590
89644,211717
89701,211789
89808,211916
89909,212043
89913,212053
89918,212068
90000,212151
90064,212366
90064,212368
90084,212398
90119,212476
90184,212590
90196,212648
90205,212665
90208,212679
90219,212744
90298,212868
90506,213110
90542,213163
90592,213252
90599,213300
90714,213458
90806,213652
90901,213829
91030,214083
91128,214302
91283,214513
91385,214663
91403,214692
91429,214757
91554,214949
91627,215105
91739,215214
91749,215233
91754,215248
91783,215273
91803,215292
91805,215299
91807,215306
91812,215316
91870,215368
92289,215841
92291,215848
92320,215883
92337,215901
92359,215922
92361,215929
92363,215936
92365,215943
92443,216009
92506,216104
92508,216111
92545,216144
92547,216151
92579,216190
92734,216324
92768,216359
92797,216393
92851,216459
92868,216496
92875,216522
92882,216534
92898,216554
92927,216584
92948,216611
93042,216747
93047,216774
93052,216800
93078,216913
93194,217125
93197,217152
93256,217341
93330,217538
93336,217575
93427,217719
93466,217762
93469,217776
93510,217820
93580,217950
93600,218012
93606,218026
93632,218060
93656,218087
93692,218132
93713,218161
93732,218220
93760,218274
93801,218342
93813,218394
93823,218415
93825,218423
94036,218667
94091,218778
94127,218826
94140,218879
94148,218899
94150,218926
94183,218976
94285,219162
94292,219173
94364,219305
94382,219333
94384,219349
94415,219410
94416,219416
94419,219428
94430,219443
94447,219482
94468,219503
94492,219538
94525,219589
94593,219675
94594,219712
94601,219728
94615,219744
94630,219771
94646,219790
94649,219805
94670,219827
94753,219956
94761,219969
94777,219993
94780,220006
94812,220045
94825,220065
94999,220293
95038,220366
95235,220642
95276,220749
95325,220842
95333,220854
95344,220865
95374,220912
95384,220935
95399,220950
95447,221036
95460,221085
95493,221135
95493,221136
95493,221138
95549,221708
95549,221709
95549,221710
95610,221772
95642,221816
95648,221828
95683,221879
95708,221918
95717,221940
95755,221993
95764,222036
95783,222086
95786,222108
95798,222127
95801,222134
95812,222157
95821,222167
95846,222225
95855,222237
95899,222296
95911,222320
95977,222440
95993,222460
96026,222501
96112,222589
96116,222602
96149,222653
96188,222711
96199,222743
96206,222756
96241,222800
96260,222823
96274,222844
96285,222858
96293,222872
96301,222893
96322,222923
96330,222937
96338,222951
96346,222972
96361,223006
96371,223016
96382,223026
96395,223047
96403,223057
96416,223078
96430,223104
96448,223135
96461,223171
96465,223185
96473,223199
