loc,send,const
130982,4063,1663
131021,4063,1663
131078,4063,1663
131410,4110,1666
131453,4113,1668
131601,4123,1669
131726,4129,1671
131747,4129,1672
131786,4129,1672
132020,4139,1673
132132,4150,1674
132307,4175,1681
132371,4179,1681
132386,4179,1682
132402,4179,1683
132472,4185,1683
132483,4185,1684
132556,4187,1686
132563,4187,1686
132595,4187,1689
132731,4198,1691
132742,4199,1691
132750,4199,1691
132764,4199,1691
132778,4199,1691
132796,4200,1691
132801,4200,1691
132931,4204,1691
135028,4234,1693
135369,4252,1693
135445,4254,1693
135505,4256,1693
135566,4258,1693
135605,4258,1693
135622,4258,1693
135783,4263,1693
136190,4263,1696
136222,4263,1696
136262,4263,1696
136330,4268,1696
136420,4269,1696
136491,4271,1696
137477,4297,1696
137741,4304,1698
137831,4305,1698
138357,4320,1706
139443,4346,1707
139585,4353,1707
139896,4365,1707
140061,4371,1707
140183,4371,1709
140202,4372,1710
140480,4375,1713
140628,4376,1716
140894,4380,1716
141294,4383,1722
141410,4383,1722
141738,4398,1724
141797,4400,1724
141831,4401,1724
141893,4402,1724
142111,4405,1724
142184,4405,1724
142397,4408,1725
142435,4410,1725
142503,4412,1725
142636,4413,1725
142676,4414,1726
142744,4420,1727
142800,4421,1727
142845,4423,1728
142849,4423,1728
142858,4423,1728
142870,4424,1730
142892,4426,1730
142910,4430,1732
142912,4430,1733
142939,4433,1733
142960,4437,1736
142981,4441,1736
142983,4441,1737
142986,4441,1738
143013,4443,1739
143050,4446,1741
143109,4446,1741
143111,4446,1742
143113,4446,1743
143115,4446,1744
143117,4446,1744
143131,4446,1744
143138,4447,1747
143145,4447,1748
143207,4455,1748
143228,4460,1748
143291,4461,1749
143297,4461,1749
143302,4461,1749
143340,4461,1749
143417,4462,1749
143455,4462,1749
143462,4462,1749
143694,4467,1749
143709,4467,1749
143714,4467,1749
143719,4470,1750
143731,4471,1750
143739,4471,1750
143753,4474,1750
143775,4475,1750
143795,4475,1751
143848,4476,1753
143862,4477,1754
143878,4477,1755
143893,4477,1756
143976,4477,1756
157231,4477,1756
157250,4479,1757
157321,4483,1758
157359,4483,1759
157406,4488,1760
157433,4489,1761
157470,4490,1762
157478,4490,1763
157500,4490,1764
157552,4490,1765
157564,4490,1765
157588,4490,1767
157859,4515,1793
158051,4523,1804
158112,4524,1807
158246,4533,1812
158364,4535,1812
158435,4535,1812
158568,4539,1817
158662,4542,1818
159025,4548,1818
159194,4550,1820
159215,4550,1823
159580,4569,1825
159607,4569,1825
159711,4573,1827
159741,4575,1828
159754,4577,1828
159783,4577,1829
159854,4581,1830
159859,4581,1830
159884,4581,1830
159928,4581,1830
160146,4589,1831
160604,4602,1838
160840,4603,1840
160899,4605,1840
161032,4612,1842
161479,4624,1842
161563,4628,1842
161826,4633,1842
161933,4635,1843
161944,4635,1843
161959,4641,1850
161968,4643,1851
162206,4649,1851
162257,4650,1852
162272,4650,1852
162294,4650,1852
162320,4651,1856
162441,4657,1862
162456,4657,1862
162471,4657,1868
162480,4657,1868
162487,4657,1868
162494,4657,1868
162501,4658,1868
162535,4659,1869
162567,4659,1869
162637,4661,1870
162707,4661,1871
162774,4664,1872
162861,4666,1873
162994,4668,1873
163044,4670,1874
163165,4678,1876
163201,4678,1878
163204,4678,1878
163247,4679,1879
163248,4679,1879
163370,4682,1879
163586,4684,1879
163601,4684,1879
163663,4684,1879
163756,4684,1879
163905,4684,1879
163922,4684,1879
163964,4685,1879
164055,4685,1879
164152,4688,1879
164247,4689,1879
164598,4691,1879
164626,4691,1879
165040,4692,1879
165059,4693,1879
165072,4693,1879
165117,4694,1879
165146,4696,1884
165162,4698,1885
165177,4699,1886
165232,4701,1888
165269,4706,1891
165337,4708,1902
165405,4708,1902
165471,4708,1902
165539,4708,1902
165574,4708,1902
165730,4708,1902
165752,4710,1905
165776,4712,1905
165838,4712,1907
165956,4716,1908
166077,4719,1909
166407,4727,1914
166542,4731,1915
166807,4745,1916
166917,4747,1918
167113,4757,1919
167231,4758,1921
167304,4758,1921
167363,4760,1923
167456,4763,1925
167521,4763,1926
167571,4763,1927
167638,4763,1928
167777,4770,1929
167944,4777,1929
168004,4777,1930
168198,4786,1930
168261,4786,1931
168308,4786,1932
168368,4786,1933
168643,4797,1934
168706,4798,1934
168806,4800,1934
168883,4801,1934
168978,4803,1936
169248,4814,1936
169585,4832,1936
169734,4837,1937
169802,4837,1938
169898,4842,1939
170053,4852,1939
170142,4852,1939
170176,4852,1939
170190,4857,1942
170274,4859,1943
170352,4862,1944
170572,4863,1950
170650,4875,1951
170693,4875,1952
170754,4875,1953
170838,4876,1954
170875,4876,1955
170924,4877,1956
170974,4878,1957
171039,4878,1958
171091,4880,1959
171147,4880,1960
171216,4880,1961
171357,4881,1962
171409,4881,1963
