loc,size,total_nodes,file
356199,154451,973213,data/aws-sdk-ruby/features/auto_scaling/step_definitions/scaling_policies.rb
356726,154684,974200,data/aws-sdk-ruby/features/cloud_watch/step_definitions/metrics.rb
357258,155069,975674,data/aws-sdk-ruby/features/dynamo_db/step_definitions/scan.rb
358420,155798,978595,data/aws-sdk-ruby/features/ec2/step_definitions/instances.rb
359233,156296,980800,data/aws-sdk-ruby/features/ec2/step_definitions/tagging.rb
359881,156610,982341,data/aws-sdk-ruby/features/elb/step_definitions/elb.rb
360598,156992,984040,data/aws-sdk-ruby/features/iam/step_definitions/access_keys.rb
361443,157386,986122,data/aws-sdk-ruby/features/iam/step_definitions/users.rb
361779,157520,986661,data/aws-sdk-ruby/features/record/step_definitions/orm.rb
362548,157931,988738,data/aws-sdk-ruby/features/s3/high_level/step_definitions/multipart_copy.rb
363768,158756,992590,data/aws-sdk-ruby/features/s3/low_level/step_definitions/acls.rb
364451,159149,994598,data/aws-sdk-ruby/features/simple_db/high_level/step_definitions/domains.rb
365394,159703,997481,data/aws-sdk-ruby/features/simple_workflow/step_definitions/activity_types.rb
366225,160187,999733,data/aws-sdk-ruby/features/sqs/step_definitions/queues.rb
366957,160580,1001300,data/aws-sdk-ruby/lib/aws/auto_scaling/client.rb
368508,161074,1003320,data/aws-sdk-ruby/lib/aws/auto_scaling/notification_configuration_collection.rb
369557,161325,1004486,data/aws-sdk-ruby/lib/aws/cloud_formation/config.rb
370582,161575,1005486,data/aws-sdk-ruby/lib/aws/cloud_formation/stack_resource_summary_collection.rb
371249,161654,1005890,data/aws-sdk-ruby/lib/aws/cloud_search/request.rb
372402,161870,1007089,data/aws-sdk-ruby/lib/aws/cloud_watch/metric_collection.rb
374582,162658,1010024,data/aws-sdk-ruby/lib/aws/core/configuration.rb
376671,163487,1013023,data/aws-sdk-ruby/lib/aws/core/indifferent_hash.rb
377646,163805,1014429,data/aws-sdk-ruby/lib/aws/core/naming.rb
379986,164808,1018393,data/aws-sdk-ruby/lib/aws/core/region.rb
381215,165331,1020320,data/aws-sdk-ruby/lib/aws/core/service_interface.rb
382396,165904,1022452,data/aws-sdk-ruby/lib/aws/core/xml/root_frame.rb
383565,166169,1023812,data/aws-sdk-ruby/lib/aws/data_pipeline.rb
387370,166472,1025073,data/aws-sdk-ruby/lib/aws/dynamo_db/client/v20120810.rb
388754,166834,1026599,data/aws-sdk-ruby/lib/aws/dynamo_db/request.rb
390201,167175,1028079,data/aws-sdk-ruby/lib/aws/ec2/client.rb
391127,167492,1029264,data/aws-sdk-ruby/lib/aws/ec2/export_task.rb
393324,168108,1032023,data/aws-sdk-ruby/lib/aws/ec2/key_pair.rb
394717,168502,1033787,data/aws-sdk-ruby/lib/aws/ec2/region_collection.rb
395826,168919,1035338,data/aws-sdk-ruby/lib/aws/ec2/route_table_collection.rb
397449,169375,1037386,data/aws-sdk-ruby/lib/aws/ec2/tagged_collection.rb
398531,169705,1038826,data/aws-sdk-ruby/lib/aws/ec2/vpn_gateway_collection.rb
399260,169775,1039422,data/aws-sdk-ruby/lib/aws/elastic_transcoder.rb
399928,169906,1039969,data/aws-sdk-ruby/lib/aws/elb/instance_collection.rb
401150,170188,1041255,data/aws-sdk-ruby/lib/aws/emr/config.rb
402411,170459,1042680,data/aws-sdk-ruby/lib/aws/glacier/client.rb
403227,170652,1043551,data/aws-sdk-ruby/lib/aws/iam/account_alias_collection.rb
404049,170846,1044383,data/aws-sdk-ruby/lib/aws/iam/mfa_device_collection.rb
405384,171116,1045792,data/aws-sdk-ruby/lib/aws/iam/user_group_collection.rb
406344,171295,1046583,data/aws-sdk-ruby/lib/aws/ops_works/client.rb
407228,171502,1047710,data/aws-sdk-ruby/lib/aws/rds/db_snapshot_collection.rb
409314,172095,1049926,data/aws-sdk-ruby/lib/aws/record/hash_model/finder_methods.rb
412123,172703,1052356,data/aws-sdk-ruby/lib/aws/record/validators/acceptance.rb
412910,172960,1053675,data/aws-sdk-ruby/lib/aws/record.rb
413481,173064,1054416,data/aws-sdk-ruby/lib/aws/route_53/hosted_zone.rb
416144,173839,1057588,data/aws-sdk-ruby/lib/aws/s3/bucket_lifecycle_configuration.rb
