loc,misses,hits,total,ratio
48174,11151,17630,118526,1.5810241233970048
48179,11155,17630,118539,1.5804571940833707
48212,11163,17638,118605,1.5800412075606916
48242,11163,17656,118726,1.5816536773268834
48311,11178,17682,118859,1.5818572195383789
48326,11178,17694,118895,1.5829307568438002
48624,11178,17694,118895,1.5829307568438002
48728,11234,17756,119257,1.5805590172690047
48751,11235,17756,119277,1.5804183355585224
49132,11331,18012,120257,1.5896213926396612
49142,11331,18022,120288,1.5905039272791457
49192,11351,18060,120440,1.5910492467623998
49203,11353,18061,120455,1.5908570421914912
49234,11370,18076,120547,1.589797713280563
49238,11370,18076,120571,1.589797713280563
49258,11378,18095,120658,1.5903497978555106
49300,11401,18101,120748,1.587667748443119
49320,11407,18113,120811,1.5878846322433593
49348,11410,18132,120884,1.5891323400525854
49359,11410,18135,120898,1.5893952673093776
49397,11435,18149,121009,1.5871447310887625
49524,11455,18183,121260,1.5873417721518988
49546,11465,18194,121317,1.5869167030091582
49640,11512,18247,121586,1.5850416956219597
49695,11523,18261,121719,1.5847435563655299
49716,11530,18275,121781,1.5849956634865567
49734,11530,18278,121815,1.5852558542931483
49747,11533,18281,121840,1.5851036157114367
49807,11536,18281,121851,1.5846914008321775
49959,11572,18337,122289,1.5846007604562737
50512,11662,18670,123359,1.600926084719602
50619,11662,18704,123500,1.603841536614646
50624,11663,18708,123514,1.6040469861956614
50688,11677,18748,123683,1.6055493705575061
50721,11684,18756,123743,1.6052721670660732
50732,11691,18759,123770,1.6045676161149602
50742,11698,18768,123808,1.6043768165498375
50791,11725,18815,123999,1.6046908315565032
50812,11726,18817,124012,1.604724543748934
50820,11730,18818,124030,1.6042625745950554
50983,11765,18858,124383,1.6028899277518063
51306,11788,18871,124787,1.6008652867322701
51637,11859,18926,125518,1.5959187115271103
51654,11861,18932,125554,1.5961554674985245
51695,11867,18939,125688,1.5959383163394287
51701,11867,18939,125695,1.5959383163394287
51721,11867,18945,125726,1.5964439201146035
51726,11868,18946,125741,1.5963936636332996
51828,11900,19008,126088,1.5973109243697479
52052,11958,19093,126730,1.5966716842281319
52058,11958,19099,126748,1.5971734403746445
52070,11960,19103,126771,1.5972408026755853
52095,11964,19114,126840,1.597626211969241
52137,11964,19123,126896,1.598378468739552
52183,11973,19152,127009,1.5995990979704335
52205,11974,19152,127026,1.599465508601971
52263,11984,19175,127225,1.6000500667556743
52302,11986,19221,127353,1.6036208910395462
52313,11987,19221,127379,1.6034871110369566
52334,11993,19233,127436,1.6036854831985325
52349,11993,19242,127467,1.6044359209538899
52377,12005,19249,127551,1.6034152436484799
52929,12105,19353,128529,1.5987608426270137
53020,12132,19398,128748,1.59891196834817
53030,12132,19407,128777,1.5996538081107814
53198,12241,19523,129388,1.5948860387223267
53387,12302,19671,130004,1.5990082913347423
53536,12342,19704,130358,1.5964997569275645
53579,12350,19716,130425,1.5964372469635628
53668,12380,19780,130799,1.5977382875605817
53817,12463,19843,131295,1.592152772205729
53869,12476,19847,131490,1.5908143635780698
53938,12486,19860,131611,1.5905814512253724
54018,12508,19962,131882,1.5959385992964503
54044,12517,19969,131930,1.5953503235599584
54049,12518,19970,131943,1.5953027640198114
54120,12532,19987,132098,1.5948771145866583
54125,12533,19991,132110,1.5950690177930265
54190,12545,20021,132209,1.5959346353128736
54547,12710,20232,133732,1.5918174665617624
54556,12718,20232,133745,1.5908161660638465
54623,12735,20273,133938,1.5919120533961524
54627,12736,20276,133948,1.5920226130653266
54798,12772,20356,134349,1.5937989351706858
55193,12843,20617,135551,1.605310285758779
55380,12906,20648,135995,1.5998760266542693
55382,12906,20648,135998,1.5998760266542693
55399,12906,20650,136027,1.6000309933364327
55404,12908,20651,136045,1.5998605515959095
55538,12927,20671,136267,1.599056238879864
55545,12927,20676,136286,1.5994430262241819
55581,12934,20686,136358,1.5993505489407762
55657,12958,20696,136536,1.5971600555641303
55665,12960,20703,136560,1.5974537037037038
55666,12962,20705,136569,1.5973615182842154
55667,12962,20707,136574,1.597515815460577
55698,12969,20728,136642,1.5982728043796746
55756,12979,20738,136738,1.5978118499113954
55800,12985,20747,136794,1.5977666538313438
55809,12987,20748,136806,1.5975975975975976
55880,13000,20796,136962,1.5996923076923077
55936,13000,20796,137169,1.5996923076923077
56047,13035,20828,137433,1.5978519370924433
56096,13043,20831,137482,1.5971018937361037
56178,13052,20841,137587,1.5967667790376954
56271,13084,20866,137802,1.594772240904922
56281,13084,20873,137822,1.5953072454906756
56302,13088,20876,137857,1.5950488997555012
56499,13111,20914,138159,1.5951491114331477
56561,13116,20921,138211,1.5950747179017992
56590,13154,20933,138365,1.5913790481982666
56651,13165,20986,138530,1.5940751993923281
56817,13229,21034,138919,1.5899916849346134
56894,13247,21055,139128,1.5894164716539594
56921,13247,21056,139140,1.589491960443874
56977,13259,21073,139296,1.5893355456670941
57005,13261,21079,139322,1.5895482995249226
57025,13263,21079,139343,1.589308602880193
57089,13296,21107,139541,1.5874699157641396
57096,13298,21108,139569,1.5873063618589263
57103,13299,21112,139582,1.587487781036168
57210,13347,21135,139847,1.5835019105416948
57241,13356,21155,139935,1.5839323150643905
57447,13435,21247,140493,1.5814663193152214
58557,13585,21652,142934,1.5938167096061833
58641,13605,21665,143120,1.5924292539507534
58777,13661,21740,143514,1.5913915525949784
58856,13673,21750,143673,1.5907262488115264
58880,13680,21772,143753,1.5915204678362573
58896,13684,21772,143773,1.5910552470038
59879,14023,22090,147916,1.5752692005990159
59952,14041,22118,148091,1.5752439284951214
60151,14095,22146,148603,1.57119545938276
60172,14097,22146,148634,1.5709725473505
60201,14107,22150,148694,1.5701424824555186
60341,14127,22219,149079,1.5728038507821902
60415,14140,22228,149681,1.571994342291372
60458,14163,22241,149839,1.570359387135494
60462,14163,22245,149848,1.5706418131751747
60483,14168,22258,149905,1.571005081874647
60536,14198,22280,150148,1.5692351035357093
60597,14212,22301,150320,1.569166901210245
60612,14214,22303,150345,1.5690868158153932
60612,14214,22303,150345,1.5690868158153932
60637,14224,22316,150420,1.5688976377952757
60694,14251,22338,150581,1.5674689495474001
60817,14268,22376,150819,1.568264648163723
60826,14268,22377,150829,1.5683347350714887
60829,14268,22377,150833,1.5683347350714887
60830,14269,22377,150836,1.5682248230429603
60831,14270,22377,150839,1.568114926419061
60869,14279,22380,150889,1.5673366482246656
61507,14359,22514,152043,1.5679364858277038
62136,14376,23371,153922,1.6256956037840846
62172,14379,23385,154002,1.6263300646776548
62285,14392,23401,154142,1.6259727626459144
62322,14395,23409,154227,1.6261896491837444
62329,14402,23413,154252,1.6256769893070406
62353,14404,23421,154316,1.626006664815329
62599,14434,23533,154845,1.6303865872246086
62635,14439,23567,154949,1.6321767435417964
62664,14457,23590,155047,1.6317354914574254
62783,14482,23642,155345,1.6325093219168623
62792,14483,23642,155363,1.6323966029137609
62823,14485,23664,155437,1.633690024162927
62893,14501,23709,155645,1.6349906902972209
62904,14505,23715,155675,1.6349534643226473
62997,14539,23762,156063,1.6343627484696335
63558,14697,24437,158169,1.6627202830509629
63576,14703,24438,158200,1.662109773515609
